id,language,generated_code,comments_1,identifiers_1,literals_1,comments_2,identifiers_2,literals_2
62b45e515108cfac7f210a3c,spanish,"def initialize(self):
    """"""
    Crear e inicializar una nueva raíz de almacenamiento OCFL.
    """"""
    # Implementación de la creación e inicialización de la raíz de almacenamiento OCFL
    self.storage_root = self.create_storage_root()
    self.initialize_metadata()
    self.setup_directory_structure()
    self.validate_storage_root()",s,e,n,s,e,n
62b87af69a0c4fa8b80b351a,spanish,"def is_fill_compute_el(obj):
    """"""
    El objeto contiene los métodos ejecutables 'fill' y 'compute'.
    """"""
    return hasattr(obj, 'fill') and callable(getattr(obj, 'fill')) and \
           hasattr(obj, 'compute') and callable(getattr(obj, 'compute'))",n,e,e,s,e,e
62b8d22f48ba5a41d1c3f488,spanish,"def popitem(self):
    """"""
    Eliminar y devolver el par `(clave, valor)` que fue insertado primero.
    """"""
    if not self:
        raise KeyError(""popitem(): dictionary is empty"")
    
    first_key = next(iter(self))
    value = self[first_key]
    del self[first_key]
    return first_key, value",n,e,e,n,e,e
62b463153879012d1948149b,spanish,"import os

def match_file_by_prefix(prefix, file_path):
    """"""
    Identifica si un `file_path` pertenece a un paquete de documentos según un `prefix` dado.

    Retorna `True` para documentos que pertenecen a un paquete.

    Parámetros
    ----------
    prefix : str  
        Prefijo del nombre del archivo.  

    file_path : str  
        Ruta del archivo.  

    Retorna
    -------
    bool
        `True` - el archivo pertenece al paquete.  
    """"""
    # Obtener el nombre del archivo desde la ruta
    file_name = os.path.basename(file_path)
    
    # Verificar si el nombre del archivo comienza con el prefijo
    return file_name.startswith(prefix)",s,e,n,s,e,n
62e4fc3c85ea98643089041e,spanish,"def _inline_r_setup(code: str) -> str:
    """"""
    Algunos comportamientos de R no pueden configurarse mediante variables de entorno, sino que solo pueden configurarse a través de opciones de R una vez que R ha iniciado. Estas se configuran aquí.
    """"""
    import rpy2.robjects as ro

    # Configurar opciones de R
    ro.r('options(stringsAsFactors = FALSE)')
    ro.r('options(scipen = 999)')  # Evitar notación científica
    ro.r('options(max.print = 1000)')  # Limitar la cantidad de impresión

    # Ejecutar el código R proporcionado
    ro.r(code)

    return ""Configuración de R completada y código ejecutado.""",s,e,s,s,e,s
62b8d23c48ba5a41d1c3f49b,spanish,"def popitem(self):
    """"""
    Eliminar y devolver el par (clave, valor) más recientemente utilizado.
    """"""
    if not self:
        raise KeyError(""popitem(): dictionary is empty"")
    key = next(reversed(self))
    value = self.pop(key)
    return (key, value)",n,e,e,n,e,e
62b43428903eeb48555d3eaa,spanish,"def formatmany(
        self,
        sql: AnyStr,
        many_params: Union[Iterable[Dict[Union[str, int], Any]], Iterable[Sequence[Any]]],
) -> Tuple[AnyStr, Union[List[Dict[Union[str, int], Any]], List[Sequence[Any]]]]:
    formatted_sql = sql
    formatted_params = []

    for params in many_params:
        if isinstance(params, dict):
            # Convert dict to list of values in order of keys
            formatted_params.append(list(params.values()))
        elif isinstance(params, (list, tuple)):
            # If it's already a sequence, just append it
            formatted_params.append(params)
        else:
            raise TypeError(""params must be a Mapping or Sequence"")

    return formatted_sql, formatted_params",e,e,e,e,e,e
630629e152e177c0ba46a0d2,spanish,"import requests

def retrieve_and_parse_diaspora_webfinger(handle):
    """"""
    Recupera y analiza un documento ""webfinger"" remoto de Diaspora.

    :arg handle: Identificador remoto a recuperar
    :returns: dict
    """"""
    url = f""https://{handle}/.well-known/webfinger?resource=acct:{handle}""
    response = requests.get(url)
    
    if response.status_code == 200:
        return response.json()
    else:
        response.raise_for_status()",n,e,e,n,e,e
62b463153879012d1948149f,spanish,"def _eval_file(prefix, file_path):
    """"""
    Identifica el tipo de archivo del paquete: `asset` o `rendition`.

    Identifica el tipo de archivo del paquete y actualiza `packages` con el tipo y
    la ruta del archivo en análisis.

    Parámetros
    ----------
    prefix : str
        nombre del archivo XML sin extensión
    filename : str
        nombre del archivo
    file_folder : str
        carpeta del archivo

    Retorna
    -------
    dict
    """"""
    result = {}
    
    # Get filename from path
    filename = file_path.split('/')[-1]
    
    # Check if file is an asset or rendition
    if filename.startswith(prefix):
        if '_rendition' in filename:
            result['type'] = 'rendition'
        else:
            result['type'] = 'asset'
        result['path'] = file_path
        
    return result",e,e,e,e,e,e
62e5dc9ed76274f8a4026b5b,spanish,"import functools
import warnings

def deprecated(message):
    def decorator(func):
        @functools.wraps(func)
        def wrapper(*args, **kwargs):
            warnings.warn(f""{func.__name__} is deprecated: {message}"", DeprecationWarning, stacklevel=2)
            return func(*args, **kwargs)
        return wrapper
    return decorator",n,e,e,n,e,e
6306091073426c38ae68acac,spanish,"def dict_insert(dic, val, key, *keys):
    if not keys:
        dic[key] = val
        return dic
    
    if key not in dic:
        dic[key] = {}
        
    current = dic[key]
    for k in keys[:-1]:
        if k not in current:
            current[k] = {}
        current = current[k]
    
    current[keys[-1]] = val
    return dic",n,e,n,n,e,n
6306092e73426c38ae68ad09,spanish,"def validate_length_args(self, args):
    """"""
    Verifica si el valor de los argumentos no supera la longitud especificada.

    :param args: Los argumentos recibidos.
    """"""
    max_length = 100  # Longitud máxima permitida
    for arg in args:
        if len(arg) > max_length:
            raise ValueError(f""El argumento '{arg}' supera la longitud máxima de {max_length}."")
    return True",s,e,s,s,e,s
